1218084.BBJK01000057_gene4392,lolA,Outer-membrane&nbsp;lipoprotein&nbsp;carrier&nbsp;protein,98.9
1218084.BBJK01000017_gene1931,BBJK01000017_gene1931,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000103_gene6475,BBJK01000103_gene6475,Translation&nbsp;initiation&nbsp;factor&nbsp;IF-1,96.1
1218084.BBJK01000059_gene4577,BBJK01000059_gene4577,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000003_gene481,BBJK01000003_gene481,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000002_gene204,BBJK01000002_gene204,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000077_gene5383,BBJK01000077_gene5383,annotation&nbsp;not&nbsp;available,96.1
1218084.BBJK01000137_gene7270,truA,tRNA&nbsp;pseudouridine&nbsp;synthase&nbsp;A,96.1
1218084.BBJK01000075_gene5218,BBJK01000075_gene5218,annotation&nbsp;not&nbsp;available,96.0
1218084.BBJK01000094_gene6104,BBJK01000094_gene6104,annotation&nbsp;not&nbsp;available,96.0
1218084.BBJK01000189_gene8044,BBJK01000189_gene8044,annotation&nbsp;not&nbsp;available,96.0
1218084.BBJK01000086_gene5776,BBJK01000086_gene5776,annotation&nbsp;not&nbsp;available,96.0
1218084.BBJK01000042_gene3785,BBJK01000042_gene3785,annotation&nbsp;not&nbsp;available,96.0
1218084.BBJK01000006_gene766,rnpA,Ribonuclease&nbsp;P&nbsp;protein&nbsp;component,96.0
1218084.BBJK01000079_gene5510,BBJK01000079_gene5510,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000017_gene1881,BBJK01000017_gene1881,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000147_gene7499,BBJK01000147_gene7499,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000036_gene3411,BBJK01000036_gene3411,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000029_gene2770,BBJK01000029_gene2770,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000028_gene2747,BBJK01000028_gene2747,Isoprenyl&nbsp;transferase,95.9
1218084.BBJK01000016_gene1637,BBJK01000016_gene1637,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000155_gene7666,BBJK01000155_gene7666,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000081_gene5588,BBJK01000081_gene5588,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000054_gene4192,BBJK01000054_gene4192,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000008_gene1161,BBJK01000008_gene1161,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000034_gene3232,BBJK01000034_gene3232,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000003_gene360,BBJK01000003_gene360,annotation&nbsp;not&nbsp;available,95.9
1218084.BBJK01000168_gene7827,BBJK01000168_gene7827,ATP-dependent&nbsp;Clp&nbsp;protease&nbsp;proteolytic&nbsp;subunit,95.8
1218084.BBJK01000001_gene84,BBJK01000001_gene84,annotation&nbsp;not&nbsp;available,95.8
1218084.BBJK01000164_gene7760,BBJK01000164_gene7760,annotation&nbsp;not&nbsp;available,95.8
1218084.BBJK01000029_gene2808,BBJK01000029_gene2808,annotation&nbsp;not&nbsp;available,95.8
1218084.BBJK01000006_gene801,mnmC,tRNA&nbsp;5-methylaminomethyl-2-thiouridine&nbsp;biosynthesis&nbsp;bifunctional&nbsp;protein&nbsp;MnmC,95.8
1218084.BBJK01000046_gene3976,BBJK01000046_gene3976,annotation&nbsp;not&nbsp;available,95.8
1218084.BBJK01000032_gene3130,BBJK01000032_gene3130,annotation&nbsp;not&nbsp;available,95.8
1218084.BBJK01000028_gene2683,BBJK01000028_gene2683,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000033_gene3184,BBJK01000033_gene3184,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000026_gene2606,BBJK01000026_gene2606,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000080_gene5581,BBJK01000080_gene5581,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000091_gene6020,BBJK01000091_gene6020,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000030_gene2835,BBJK01000030_gene2835,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000087_gene5831,BBJK01000087_gene5831,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000008_gene1151,BBJK01000008_gene1151,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000202_gene8128,mnmA,tRNA-specific&nbsp;2-thiouridylase&nbsp;MnmA,95.7
1218084.BBJK01000005_gene654,BBJK01000005_gene654,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000050_gene4077,BBJK01000050_gene4077,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000051_gene4096,BBJK01000051_gene4096,RNA&nbsp;polymerase&nbsp;sigma&nbsp;factor&nbsp;RpoD,95.7
1218084.BBJK01000057_gene4321,BBJK01000057_gene4321,annotation&nbsp;not&nbsp;available,95.7
1218084.BBJK01000006_gene838,atpF,ATP&nbsp;synthase&nbsp;subunit&nbsp;b,95.6
1218084.BBJK01000005_gene661,BBJK01000005_gene661,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000038_gene3579,BBJK01000038_gene3579,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000078_gene5416,BBJK01000078_gene5416,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000200_gene8116,BBJK01000200_gene8116,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000057_gene4354,BBJK01000057_gene4354,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000006_gene828,BBJK01000006_gene828,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000077_gene5371,BBJK01000077_gene5371,annotation&nbsp;not&nbsp;available,95.6
1218084.BBJK01000076_gene5242,bamD,Outer&nbsp;membrane&nbsp;protein&nbsp;assembly&nbsp;factor&nbsp;BamD,95.5
1218084.BBJK01000015_gene1564,BBJK01000015_gene1564,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000064_gene4807,BBJK01000064_gene4807,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000078_gene5449,BBJK01000078_gene5449,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000026_gene2605,BBJK01000026_gene2605,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000002_gene142,BBJK01000002_gene142,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000136_gene7239,BBJK01000136_gene7239,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000032_gene3046,ftsW,Probable&nbsp;peptidoglycan&nbsp;glycosyltransferase&nbsp;FtsW,95.5
1218084.BBJK01000215_gene8168,BBJK01000215_gene8168,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000002_gene169,BBJK01000002_gene169,annotation&nbsp;not&nbsp;available,95.5
1218084.BBJK01000006_gene873,BBJK01000006_gene873,annotation&nbsp;not&nbsp;available,95.4
1218084.BBJK01000023_gene2304,BBJK01000023_gene2304,annotation&nbsp;not&nbsp;available,95.4
1218084.BBJK01000086_gene5813,BBJK01000086_gene5813,annotation&nbsp;not&nbsp;available,95.4
1218084.BBJK01000039_gene3610,BBJK01000039_gene3610,annotation&nbsp;not&nbsp;available,95.4
1218084.BBJK01000023_gene2459,BBJK01000023_gene2459,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000135_gene7220,BBJK01000135_gene7220,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000013_gene1364,BBJK01000013_gene1364,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000038_gene3563,BBJK01000038_gene3563,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000120_gene6881,BBJK01000120_gene6881,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000142_gene7375,BBJK01000142_gene7375,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000090_gene5993,BBJK01000090_gene5993,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000016_gene1633,BBJK01000016_gene1633,annotation&nbsp;not&nbsp;available,95.3
1218084.BBJK01000076_gene5293,BBJK01000076_gene5293,annotation&nbsp;not&nbsp;available,95.2
1218084.BBJK01000050_gene4041,BBJK01000050_gene4041,annotation&nbsp;not&nbsp;available,95.2
1218084.BBJK01000016_gene1634,BBJK01000016_gene1634,annotation&nbsp;not&nbsp;available,95.2
1218084.BBJK01000090_gene5980,BBJK01000090_gene5980,annotation&nbsp;not&nbsp;available,95.2
1218084.BBJK01000005_gene652,BBJK01000005_gene652,annotation&nbsp;not&nbsp;available,95.1
1218084.BBJK01000060_gene4643,purC,annotation&nbsp;not&nbsp;available,95.1
1218084.BBJK01000105_gene6542,BBJK01000105_gene6542,annotation&nbsp;not&nbsp;available,95.1
1218084.BBJK01000034_gene3273,BBJK01000034_gene3273,annotation&nbsp;not&nbsp;available,95.1
1218084.BBJK01000101_gene6323,BBJK01000101_gene6323,Catalase-related&nbsp;peroxidase,95.1
1218084.BBJK01000016_gene1690,BBJK01000016_gene1690,annotation&nbsp;not&nbsp;available,95.1
1218084.BBJK01000044_gene3932,BBJK01000044_gene3932,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000131_gene7170,BBJK01000131_gene7170,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000020_gene2112,BBJK01000020_gene2112,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000001_gene54,BBJK01000001_gene54,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000083_gene5669,BBJK01000083_gene5669,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000060_gene4675,BBJK01000060_gene4675,annotation&nbsp;not&nbsp;available,95.0
1218084.BBJK01000003_gene522,BBJK01000003_gene522,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000108_gene6646,nuoC,NADH-quinone&nbsp;oxidoreductase&nbsp;subunit&nbsp;C,94.9
1218084.BBJK01000115_gene6766,BBJK01000115_gene6766,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000061_gene4738,BBJK01000061_gene4738,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000019_gene2014,BBJK01000019_gene2014,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000017_gene1899,BBJK01000017_gene1899,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000048_gene4003,BBJK01000048_gene4003,annotation&nbsp;not&nbsp;available,94.9
1218084.BBJK01000006_gene819,BBJK01000006_gene819,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000016_gene1739,BBJK01000016_gene1739,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000116_gene6780,BBJK01000116_gene6780,Cell&nbsp;division&nbsp;protein&nbsp;ZapA,94.8
1218084.BBJK01000110_gene6684,BBJK01000110_gene6684,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000001_gene73,BBJK01000001_gene73,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000023_gene2375,BBJK01000023_gene2375,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000133_gene7201,BBJK01000133_gene7201,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000060_gene4686,BBJK01000060_gene4686,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000023_gene2356,BBJK01000023_gene2356,annotation&nbsp;not&nbsp;available,94.8
1218084.BBJK01000020_gene2153,bioF,8-amino-7-oxononanoate&nbsp;synthase,94.8
1218084.BBJK01000107_gene6607,BBJK01000107_gene6607,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000090_gene5991,BBJK01000090_gene5991,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000170_gene7859,BBJK01000170_gene7859,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000120_gene6889,BBJK01000120_gene6889,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000013_gene1391,BBJK01000013_gene1391,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000094_gene6133,BBJK01000094_gene6133,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000013_gene1355,BBJK01000013_gene1355,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000013_gene1402,BBJK01000013_gene1402,annotation&nbsp;not&nbsp;available,94.7
1218084.BBJK01000085_gene5714,BBJK01000085_gene5714,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000120_gene6872,BBJK01000120_gene6872,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000076_gene5246,BBJK01000076_gene5246,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000003_gene466,BBJK01000003_gene466,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000021_gene2297,BBJK01000021_gene2297,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000088_gene5862,BBJK01000088_gene5862,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000006_gene719,BBJK01000006_gene719,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000103_gene6447,BBJK01000103_gene6447,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000142_gene7381,BBJK01000142_gene7381,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000013_gene1444,BBJK01000013_gene1444,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000065_gene4863,BBJK01000065_gene4863,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000082_gene5620,BBJK01000082_gene5620,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000025_gene2510,plsX,Phosphate&nbsp;acyltransferase,94.6
1218084.BBJK01000013_gene1376,BBJK01000013_gene1376,annotation&nbsp;not&nbsp;available,94.6
1218084.BBJK01000125_gene7036,rpmE2,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000160_gene7723,BBJK01000160_gene7723,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000007_gene1096,BBJK01000007_gene1096,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000003_gene414,BBJK01000003_gene414,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000061_gene4698,BBJK01000061_gene4698,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000169_gene7839,BBJK01000169_gene7839,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000052_gene4164,BBJK01000052_gene4164,annotation&nbsp;not&nbsp;available,94.5
1218084.BBJK01000143_gene7385,amn,AMP&nbsp;nucleosidase,94.5
1218084.BBJK01000101_gene6326,BBJK01000101_gene6326,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000011_gene1288,BBJK01000011_gene1288,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000156_gene7680,BBJK01000156_gene7680,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000032_gene3089,BBJK01000032_gene3089,Biotin&nbsp;carboxyl&nbsp;carrier&nbsp;protein&nbsp;of&nbsp;acetyl-CoA&nbsp;carboxylase,94.4
1218084.BBJK01000156_gene7687,kdpC,Potassium-transporting&nbsp;ATPase&nbsp;KdpC&nbsp;subunit,94.4
1218084.BBJK01000080_gene5575,BBJK01000080_gene5575,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000032_gene3040,ftsL,Cell&nbsp;division&nbsp;protein&nbsp;FtsL,94.4
1218084.BBJK01000057_gene4332,BBJK01000057_gene4332,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000031_gene2886,BBJK01000031_gene2886,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000112_gene6730,BBJK01000112_gene6730,annotation&nbsp;not&nbsp;available,94.4
1218084.BBJK01000108_gene6644,BBJK01000108_gene6644,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000038_gene3578,BBJK01000038_gene3578,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000180_gene7975,BBJK01000180_gene7975,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000014_gene1486,BBJK01000014_gene1486,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000037_gene3465,BBJK01000037_gene3465,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000097_gene6208,BBJK01000097_gene6208,annotation&nbsp;not&nbsp;available,94.3
1218084.BBJK01000148_gene7517,BBJK01000148_gene7517,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000142_gene7380,BBJK01000142_gene7380,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000003_gene458,BBJK01000003_gene458,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000017_gene1878,BBJK01000017_gene1878,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000021_gene2250,BBJK01000021_gene2250,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000083_gene5657,nadK,NAD&nbsp;kinase,94.2
1218084.BBJK01000059_gene4593,BBJK01000059_gene4593,Spermidine/putrescine&nbsp;import&nbsp;ATP-binding&nbsp;protein&nbsp;PotA,94.2
1218084.BBJK01000165_gene7778,BBJK01000165_gene7778,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000077_gene5363,BBJK01000077_gene5363,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000006_gene835,BBJK01000006_gene835,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000076_gene5300,purL,Phosphoribosylformylglycinamidine&nbsp;synthase,94.2
1218084.BBJK01000038_gene3561,BBJK01000038_gene3561,annotation&nbsp;not&nbsp;available,94.2
1218084.BBJK01000031_gene2971,BBJK01000031_gene2971,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000004_gene604,BBJK01000004_gene604,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000021_gene2287,BBJK01000021_gene2287,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000059_gene4554,BBJK01000059_gene4554,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000125_gene7035,BBJK01000125_gene7035,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000039_gene3632,BBJK01000039_gene3632,annotation&nbsp;not&nbsp;available,94.1
1218084.BBJK01000103_gene6479,rpsE,30S&nbsp;ribosomal&nbsp;protein&nbsp;S5,94.0
1218084.BBJK01000028_gene2743,rpsB,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000003_gene527,BBJK01000003_gene527,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000094_gene6137,BBJK01000094_gene6137,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000003_gene377,BBJK01000003_gene377,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000032_gene3050,ftsQ,Cell&nbsp;division&nbsp;protein&nbsp;FtsQ,94.0
1218084.BBJK01000213_gene8165,BBJK01000213_gene8165,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000006_gene854,BBJK01000006_gene854,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000032_gene3139,BBJK01000032_gene3139,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000135_gene7208,BBJK01000135_gene7208,annotation&nbsp;not&nbsp;available,94.0
1218084.BBJK01000103_gene6482,rpsH,30S&nbsp;ribosomal&nbsp;protein&nbsp;S8,93.9
1218084.BBJK01000006_gene723,mrdB,Peptidoglycan&nbsp;glycosyltransferase&nbsp;MrdB,93.9
1218084.BBJK01000015_gene1609,BBJK01000015_gene1609,annotation&nbsp;not&nbsp;available,93.9
1218084.BBJK01000006_gene866,gcvT,Aminomethyltransferase,93.9
1218084.BBJK01000023_gene2453,BBJK01000023_gene2453,annotation&nbsp;not&nbsp;available,93.9
1218084.BBJK01000073_gene5116,BBJK01000073_gene5116,annotation&nbsp;not&nbsp;available,93.9
1218084.BBJK01000085_gene5696,BBJK01000085_gene5696,annotation&nbsp;not&nbsp;available,93.9
1218084.BBJK01000017_gene1885,BBJK01000017_gene1885,annotation&nbsp;not&nbsp;available,93.9
1218084.BBJK01000136_gene7237,BBJK01000136_gene7237,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000100_gene6316,BBJK01000100_gene6316,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000020_gene2119,BBJK01000020_gene2119,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000109_gene6658,BBJK01000109_gene6658,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000034_gene3238,BBJK01000034_gene3238,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000126_gene7060,BBJK01000126_gene7060,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000028_gene2731,BBJK01000028_gene2731,annotation&nbsp;not&nbsp;available,93.8
1218084.BBJK01000055_gene4254,BBJK01000055_gene4254,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000006_gene714,BBJK01000006_gene714,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000085_gene5725,BBJK01000085_gene5725,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000179_gene7967,BBJK01000179_gene7967,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000032_gene3076,ffh,Signal&nbsp;recognition&nbsp;particle&nbsp;protein,93.7
1218084.BBJK01000029_gene2803,BBJK01000029_gene2803,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000078_gene5396,BBJK01000078_gene5396,annotation&nbsp;not&nbsp;available,93.7
1218084.BBJK01000079_gene5478,BBJK01000079_gene5478,annotation&nbsp;not&nbsp;available,93.6
1218084.BBJK01000002_gene245,BBJK01000002_gene245,annotation&nbsp;not&nbsp;available,93.6
1218084.BBJK01000069_gene5000,BBJK01000069_gene5000,annotation&nbsp;not&nbsp;available,93.6
1218084.BBJK01000032_gene3125,BBJK01000032_gene3125,annotation&nbsp;not&nbsp;available,93.5
1218084.BBJK01000078_gene5429,BBJK01000078_gene5429,annotation&nbsp;not&nbsp;available,93.5
1218084.BBJK01000023_gene2436,BBJK01000023_gene2436,annotation&nbsp;not&nbsp;available,93.5
1218084.BBJK01000001_gene51,BBJK01000001_gene51,annotation&nbsp;not&nbsp;available,93.5
1218084.BBJK01000126_gene7058,BBJK01000126_gene7058,annotation&nbsp;not&nbsp;available,93.5
1218084.BBJK01000050_gene4052,BBJK01000050_gene4052,annotation&nbsp;not&nbsp;available,93.4
1218084.BBJK01000160_gene7724,ureD,Urease&nbsp;accessory&nbsp;protein&nbsp;UreD,93.4
1218084.BBJK01000168_gene7817,BBJK01000168_gene7817,annotation&nbsp;not&nbsp;available,93.4
1218084.BBJK01000006_gene890,BBJK01000006_gene890,annotation&nbsp;not&nbsp;available,93.4
1218084.BBJK01000163_gene7749,rplK,50S&nbsp;ribosomal&nbsp;protein&nbsp;L11,93.4
1218084.BBJK01000021_gene2191,BBJK01000021_gene2191,annotation&nbsp;not&nbsp;available,93.4
1218084.BBJK01000120_gene6912,BBJK01000120_gene6912,annotation&nbsp;not&nbsp;available,93.3
1218084.BBJK01000075_gene5183,BBJK01000075_gene5183,annotation&nbsp;not&nbsp;available,93.3
1218084.BBJK01000007_gene914,BBJK01000007_gene914,annotation&nbsp;not&nbsp;available,93.3
1218084.BBJK01000143_gene7397,BBJK01000143_gene7397,annotation&nbsp;not&nbsp;available,93.3
1218084.BBJK01000154_gene7653,BBJK01000154_gene7653,annotation&nbsp;not&nbsp;available,93.3
1218084.BBJK01000042_gene3779,BBJK01000042_gene3779,annotation&nbsp;not&nbsp;available,93.2
1218084.BBJK01000066_gene4885,BBJK01000066_gene4885,annotation&nbsp;not&nbsp;available,93.2
1218084.BBJK01000174_gene7908,BBJK01000174_gene7908,annotation&nbsp;not&nbsp;available,93.2
1218084.BBJK01000128_gene7093,BBJK01000128_gene7093,annotation&nbsp;not&nbsp;available,93.2
1218084.BBJK01000048_gene4005,BBJK01000048_gene4005,annotation&nbsp;not&nbsp;available,93.2
1218084.BBJK01000133_gene7191,BBJK01000133_gene7191,annotation&nbsp;not&nbsp;available,93.2
